time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
72.23500000,0.00977238,3770,0.00000442,0.00000000,0,0.00000052,10593,10594,2,0.00207912
72.33500000,0.00970560,3773,0.00002089,0.00000000,0,0.00000053,10594,10596,8,0.00148224
72.43500000,0.01127357,3796,0.00002690,0.00000000,0,0.00000072,10596,10599,7,0.00145624
72.53500000,0.00995777,3755,0.00000705,0.00000000,0,0.00000072,10599,10600,2,0.00143264
72.63500000,0.01157204,3752,0.00001741,0.00000000,0,0.00000083,10600,10597,5,0.00137134
72.73500000,0.01071768,3755,0.00000313,0.00000000,0,0.00000092,10597,10597,1,0.00148996
72.83500000,0.01108379,3744,0.00003945,0.00000000,0,0.00000093,10597,10604,11,0.00221759
72.93500000,0.01061473,3759,0.00005371,0.00000000,0,0.00000079,10604,10613,12,0.00218605
73.03500000,0.01168513,3783,0.00002448,0.00000000,0,0.00000064,10613,10617,5,0.00221525
73.13500000,0.01026396,3705,0.00006580,0.00000000,0,0.00000099,10617,10631,19,0.00216181
73.23500000,0.00938744,3750,0.00011037,0.00000000,0,0.00000087,10631,10647,36,0.00219646
73.33500000,0.01049061,3776,0.00012295,0.00000000,0,0.00000063,10647,10598,33,0.00220558
73.43500000,0.00790010,3763,0.00008469,0.00000000,0,0.00000072,10598,10613,34,0.00232396
73.53500000,0.01198369,3738,0.00000523,0.00000000,0,0.00000074,10613,10613,2,0.00225488
73.63500000,0.00785377,3742,0.00002505,0.00000000,0,0.00000051,10613,10620,7,0.00232977
73.73500000,0.00816996,3763,0.00002712,0.00000000,0,0.00000048,10620,10628,13,0.00221687
73.83500000,0.00818854,3774,0.00002015,0.00000000,0,0.00000629,10628,10636,12,0.00135871
73.93500000,0.01141127,3757,0.00000034,0.00000000,0,0.00000062,10636,10636,0,0.00237870
74.03500000,0.00778232,3759,0.00009637,0.00000000,0,0.00000055,10636,10660,36,0.00214937
74.13500000,0.01096505,3702,0.00020347,0.00000000,0,0.00000109,10660,10655,42,0.00150104
74.23500000,0.00921447,3784,0.00016847,0.00000000,0,0.00000077,10655,10599,49,0.00146909
74.33500000,0.00966084,3793,0.00004690,0.00000000,0,0.00000082,10599,10611,21,0.00135938
74.43500000,0.01086743,3717,0.00001622,0.00000000,0,0.00000063,10611,10615,6,0.00144834
74.53500000,0.00785376,3764,0.00000636,0.00000000,0,0.00000048,10615,10616,2,0.00220351
74.63500000,0.00900233,3779,0.00001423,0.00000000,0,0.00000083,10616,10621,5,0.00240449
74.73500000,0.01065974,3797,0.00000761,0.00000000,0,0.00000068,10621,10621,5,0.00239820
74.83500000,0.00825929,3728,0.00001890,0.00000000,0,0.00000077,10621,10625,5,0.00147880
74.93500000,0.00845547,3772,0.00001892,0.00000000,0,0.00000078,10625,10629,6,0.00137176
75.04000000,0.00794173,3779,0.00005611,0.00000000,0,0.00000048,10629,10637,22,0.00216932
75.13500000,0.00849820,3779,0.00000788,0.00000000,0,0.00000062,10637,10638,5,0.00218961
75.23500000,0.00775639,3760,0.00000709,0.00000000,0,0.00000048,10638,10639,2,0.00235664
75.33500000,0.00821037,3768,0.00003933,0.00000000,0,0.00000062,10639,10647,14,0.00136819
75.43500000,0.00804409,3812,0.00002564,0.00000000,0,0.00000059,10647,10643,7,0.00148543
75.53500000,0.00813047,3737,0.00000867,0.00000000,0,0.00000061,10643,10644,3,0.00146919
75.63500000,0.00782617,3721,0.00006537,0.00000000,0,0.00000053,10644,10634,17,0.00143426
75.73500000,0.00828233,3732,0.00013694,0.00000000,0,0.00000084,10634,10636,43,0.00144929
75.84000000,0.00849571,3811,0.00009067,0.00000000,0,0.00000046,10636,10651,40,0.00134736
75.94000000,0.00796891,3762,0.00005314,0.00000000,0,0.00000071,10651,10654,20,0.00136555
76.03500000,0.01101399,3767,0.00000296,0.00000000,0,0.00000068,10654,10654,1,0.00137283
76.13500000,0.01071885,3768,0.00018091,0.00000000,0,0.00000054,10654,10646,31,0.00236428
76.23500000,0.00832299,3745,0.00008999,0.00000000,0,0.00000056,10646,10665,33,0.00141892
76.33500000,0.00851732,3737,0.00008739,0.00000000,0,0.00000045,10665,10690,36,0.00142083
76.43500000,0.01074158,3796,0.00001931,0.00000000,0,0.00000081,10690,10689,8,0.00235408
76.53500000,0.00830836,3751,0.00001036,0.00000000,0,0.00000044,10689,10690,3,0.00219580
76.63500000,0.00790010,3780,0.00003033,0.00000000,0,0.00000052,10690,10683,9,0.00236322
76.73500000,0.01196377,3783,0.00001289,0.00000000,0,0.00000070,10683,10685,2,0.00137737
76.83500000,0.00769113,3703,0.00000030,0.00000000,0,0.00000056,10685,10685,0,0.00221599
76.93500000,0.00854686,3759,0.00002925,0.00000000,0,0.00000055,10685,10687,9,0.00147789
77.03500000,0.00787042,3731,0.00003557,0.00000000,0,0.00000071,10687,10703,17,0.00135538
77.13500000,0.00847183,3775,0.00000590,0.00000000,0,0.00000056,10703,10703,3,0.00237394
77.23500000,0.00814947,3751,0.00001039,0.00000000,0,0.00000069,10703,10705,3,0.00212489
77.33500000,0.00867289,3771,0.00002353,0.00000000,0,0.00000052,10705,10711,8,0.00140713
77.43500000,0.00802827,3770,0.00007508,0.00000000,0,0.00000056,10711,10704,24,0.00136478
77.53500000,0.00836852,3803,0.00000364,0.00000000,0,0.00000056,10704,10704,2,0.00164978
77.63500000,0.00990755,3785,0.00000779,0.00000000,0,0.00000047,10704,10705,3,0.00149525
77.73500000,0.01140168,3737,0.00001555,0.00000000,0,0.00000073,10705,10708,6,0.00146768
77.83500000,0.00838326,3763,0.00005231,0.00000000,0,0.00000071,10708,10715,19,0.00150087
